snr(xlabel),OfdmRate6Mbps,OfdmRate9Mbps,OfdmRate12Mbps,OfdmRate18Mbps,OfdmRate24Mbps,OfdmRate36Mbps,OfdmRate48Mbps,OfdmRate54Mbps
-5,0,0,0,0,0,0,0,0
-4.9,0,0,0,0,0,0,0,0
-4.8,9.83E-302,0,0,0,0,0,0,0
-4.7,1.68E-276,0,0,0,0,0,0,0
-4.6,5.58E-253,0,0,0,0,0,0,0
-4.5,4.35E-231,0,0,0,0,0,0,0
-4.4,9.66E-211,0,0,0,0,0,0,0
-4.3,7.34E-192,0,0,0,0,0,0,0
-4.2,2.28E-174,0,0,0,0,0,0,0
-4.1,3.45E-158,0,0,0,0,0,0,0
-4,3.00E-143,0,0,0,0,0,0,0
-3.9,1.77E-129,0,0,0,0,0,0,0
-3.8,8.27E-117,0,0,0,0,0,0,0
-3.7,3.57E-105,0,0,0,0,0,0,0
-3.6,1.65E-94,0,0,0,0,0,0,0
-3.5,9.37E-85,0,0,0,0,0,0,0
-3.4,7.52E-76,0,0,0,0,0,0,0
-3.3,9.72E-68,0,0,0,0,0,0,0
-3.2,2.29E-60,0,0,0,0,0,0,0
-3.1,1.11E-53,0,0,0,0,0,0,0
-3,1.25E-47,0,0,0,0,0,0,0
-2.9,3.61E-42,1.4822e-323,0,0,0,0,0,0
-2.8,2.98E-37,6.23E-299,0,0,0,0,0,0
-2.7,7.79E-33,7.70E-276,0,0,0,0,0,0
-2.6,7.06E-29,3.65E-254,0,0,0,0,0,0
-2.5,2.43E-25,7.61E-234,0,0,0,0,0,0
-2.4,3.45E-22,8.00E-215,0,0,0,0,0,0
-2.3,2.18E-19,4.84E-197,9.81382e-314,0,0,0,0,0
-2.2,6.62E-17,1.92E-180,1.12E-291,0,0,0,0,0
-2.1,1.03E-14,5.65E-165,8.68E-271,0,0,0,0,0
-2,8.86E-13,1.41E-150,5.00E-251,0,0,0,0,0
-1.9,4.42E-11,3.32E-137,2.32E-232,0,0,0,0,0
-1.8,1.36E-09,8.44E-125,9.40E-215,0,0,0,0,0
-1.7,2.69E-08,2.58E-113,3.62E-198,0,0,0,0,0
-1.6,3.63E-07,1.07E-102,1.44E-182,0,0,0,0,0
-1.5,3.46E-06,6.63E-93,6.39E-168,0,0,0,0,0
-1.4,2.43E-05,6.93E-84,3.46E-154,0,0,0,0,0
-1.3,0.000130095,1.35E-75,2.48E-141,0,0,0,0,0
-1.2,0.0005494,5.42E-68,2.56E-129,0,0,0,0,0
-1.1,0.00188306,4.95E-61,4.10E-118,0,0,0,0,0
-1,0.00537807,1.13E-54,1.12E-107,0,0,0,0,0
-0.9,0.0131049,7.07E-49,5.56E-98,0,0,0,0,0
-0.8,0.0278257,1.32E-43,5.52E-89,0,0,0,0,0
-0.7,0.0524583,8.05E-39,1.18E-80,0,0,0,0,0
-0.6,0.0892805,1.73E-34,5.85E-73,0,0,0,0,0
-0.5,0.1392,1.41E-30,7.30E-66,0,0,0,0,0
-0.4,0.201398,4.74E-27,2.47E-59,0,0,0,0,0
-0.3,0.27346,6.99E-24,2.44E-53,0,0,0,0,0
-0.2,0.351894,4.85E-21,7.58E-48,0,0,0,0,0
-0.1,0.432808,1.68E-18,7.92E-43,0,0,0,0,0
-1.03E-15,0.512538,3.10E-16,2.99E-38,0,0,0,0,0
0.1,0.588076,3.21E-14,4.34E-34,0,0,0,0,0
0.2,0.657279,1.96E-12,2.60E-30,0,0,0,0,0
0.3,0.71888,7.46E-11,6.80E-27,0,0,0,0,0
0.4,0.772376,1.84E-09,8.28E-24,0,0,0,0,0
0.5,0.817856,3.09E-08,4.96E-21,0,0,0,0,0
0.6,0.855816,3.66E-07,1.54E-18,0,0,0,0,0
0.7,0.886994,3.17E-06,2.63E-16,0,0,0,0,0
0.8,0.912244,2.08E-05,2.59E-14,0,0,0,0,0
0.9,0.932438,0.000106196,1.54E-12,0,0,0,0,0
1,0.948409,0.00043552,5.75E-11,0,0,0,0,0
1.1,0.96091,0.00147007,1.42E-09,0,0,0,0,0
1.2,0.970605,0.00417988,2.39E-08,0,0,0,0,0
1.3,0.978057,0.0102233,2.87E-07,0,0,0,0,0
1.4,0.983737,0.0219191,2.53E-06,0,0,0,0,0
1.5,0.988033,0.0419004,1.69E-05,0,0,0,0,0
1.6,0.991256,0.0725031,8.81E-05,0,0,0,0,0
1.7,0.993657,0.115106,0.000369114,0,4.56796e-316,0,0,0
1.8,0.995431,0.169681,0.00127201,3.25376e-313,2.06E-304,0,0,0
1.9,0.996733,0.234721,0.00368873,4.20E-281,5.74E-293,0,0,0
2,0.997681,0.307527,0.00918896,8.78E-252,9.80E-282,0,0,0
2.1,0.998366,0.384731,0.0200336,4.66E-225,1.01E-270,0,0,0
2.2,0.998857,0.46286,0.0388745,9.60E-201,6.32E-260,0,0,0
2.3,0.999207,0.538801,0.0681635,1.14E-178,2.35E-249,0,0,0
2.4,0.999454,0.610094,0.10947,1.15E-158,5.17E-239,0,0,0
2.5,0.999627,0.675048,0.162977,1.40E-140,6.68E-229,0,0,0
2.6,0.999747,0.732715,0.227343,2.90E-124,5.03E-219,0,0,0
2.7,0.99983,0.78278,0.299953,1.41E-109,2.20E-209,0,0,0
2.8,0.999887,0.825408,0.377429,2.16E-96,5.54E-200,0,0,0
2.9,0.999925,0.861092,0.456215,1.40E-84,8.00E-191,0,0,0
3,0.999951,0.890521,0.533073,4.97E-74,6.60E-182,0,0,0
3.1,0.999968,0.914473,0.60541,1.26E-64,3.10E-173,0,0,0
3.2,0.99998,0.933737,0.671421,2.84E-56,8.25E-165,0,0,0
3.3,0.999987,0.949066,0.730072,7.20E-49,1.24E-156,0,0,0
3.4,0.999992,0.961145,0.780992,2.51E-42,1.06E-148,0,0,0
3.5,0.999995,0.970576,0.824323,1.45E-36,5.08E-141,0,0,0
3.6,0.999997,0.977878,0.860554,1.68E-31,1.37E-133,0,0,0
3.7,0.999998,0.983485,0.890385,4.53E-27,2.10E-126,0,0,0
3.8,0.999999,0.987757,0.914614,3.35E-23,1.82E-119,0,0,0
3.9,0.999999,0.990987,0.934055,7.75E-20,8.88E-113,0,0,0
4,1,0.993412,0.949482,6.40E-17,2.47E-106,0,0,0
4.1,1,0.995218,0.961601,2.12E-14,3.91E-100,0,0,0
4.2,1,0.996554,0.971032,3.13E-12,3.54E-94,0,0,0
4.3,1,0.997535,0.978307,2.28E-10,1.85E-88,0,0,0
4.4,1,0.998249,0.983873,8.86E-09,5.58E-83,0,0,0
4.5,1,0.998766,0.988097,2.00E-07,9.81E-78,0,0,0
4.6,1,0.999137,0.991277,2.82E-06,1.01E-72,0,0,0
4.7,1,0.999401,0.993654,2.63E-05,6.18E-68,0,0,0
4.8,1,0.999587,0.995416,0.000172148,2.25E-63,0,0,0
4.9,1,0.999718,0.996713,0.000830886,4.95E-59,0,0,0
5,1,0.999809,0.997661,0.00308923,6.61E-55,0,0,0
5.1,1,0.999872,0.998347,0.00919506,5.43E-51,0,0,0
5.2,1,0.999915,0.998841,0.0226608,2.78E-47,0,0,0
5.3,1,0.999944,0.999194,0.0476139,8.94E-44,0,0,0
5.4,1,0.999963,0.999444,0.0874885,1.83E-40,0,0,0
5.5,1,0.999976,0.999619,0.143688,2.43E-37,0,0,0
5.6,1,0.999985,0.999741,0.214928,2.10E-34,0,0,0
5.7,1,0.99999,0.999826,0.297517,1.21E-31,0,0,0
5.8,1,0.999994,0.999884,0.386351,4.67E-29,0,0,0
5.9,1,0.999996,0.999923,0.476086,1.23E-26,0,0,0
6,1,0.999998,0.99995,0.562094,2.24E-24,0,0,0
6.1,1,0.999999,0.999967,0.640989,2.87E-22,0,0,0
6.2,1,0.999999,0.999979,0.710748,2.62E-20,0,0,0
6.3,1,0.999999,0.999987,0.77056,1.73E-18,0,0,0
6.4,1,1,0.999991,0.820531,8.40E-17,0,0,0
6.5,1,1,0.999995,0.861374,3.04E-15,0,0,0
6.6,1,1,0.999997,0.894136,8.30E-14,0,0,0
6.7,1,1,0.999998,0.919996,1.74E-12,0,0,0
6.8,1,1,0.999999,0.940122,2.85E-11,0,0,0
6.9,1,1,0.999999,0.95559,3.68E-10,0,0,0
7,1,1,1,0.967347,3.82E-09,0,0,0
7.1,1,1,1,0.97619,3.21E-08,0,0,0
7.2,1,1,1,0.982778,2.23E-07,0,0,0
7.3,1,1,1,0.987643,1.29E-06,0,0,0
7.4,1,1,1,0.991203,6.30E-06,0,0,0
7.5,1,1,1,0.993787,2.63E-05,0,0,0
7.6,1,1,1,0.995647,9.53E-05,0,0,0
7.7,1,1,1,0.996974,0.000301855,0,0,0
7.8,1,1,1,0.997914,0.000845964,0,0,0
7.9,1,1,1,0.998573,0.0021192,4.56E-298,0,0
8,1,1,1,0.999032,0.00479147,6.86E-273,0,0
8.1,1,1,1,0.999349,0.00986782,2.07E-249,0,0
8.2,1,1,1,0.999566,0.0186713,1.51E-227,0,0
8.3,1,1,1,0.999714,0.0327219,3.16E-207,0,0
8.4,1,1,1,0.999812,0.0535173,2.28E-188,0,0
8.5,1,1,1,0.999878,0.0822605,6.66E-171,0,0
8.6,1,1,1,0.999922,0.119607,9.38E-155,0,0
8.7,1,1,1,0.99995,0.165502,7.48E-140,0,0
8.8,1,1,1,0.999969,0.219144,3.97E-126,5.06411e-315,0
8.9,1,1,1,0.99998,0.27908,1.63E-113,2.09E-304,0
9,1,1,1,0.999988,0.343405,6.05E-102,6.12E-294,0
9.1,1,1,1,0.999993,0.409996,2.35E-91,1.26E-283,0
9.2,1,1,1,0.999996,0.476752,1.10E-81,1.80E-273,0
9.3,1,1,1,0.999997,0.541778,7.07E-73,1.77E-263,0
9.4,1,1,1,0.999998,0.603522,7.20E-65,1.18E-253,0
9.5,1,1,1,0.999999,0.660826,1.32E-57,5.31E-244,0
9.6,1,1,1,0.999999,0.712939,4.87E-51,1.59E-234,0
9.7,1,1,1,1,0.759479,4.11E-45,3.12E-225,0
9.8,1,1,1,1,0.80037,8.85E-40,4.02E-216,0
9.9,1,1,1,1,0.835778,5.41E-35,3.34E-207,0
10,1,1,1,1,0.866036,1.04E-30,1.79E-198,0
10.1,1,1,1,1,0.891585,6.94E-27,6.07E-190,0
10.2,1,1,1,1,0.912925,1.76E-23,1.31E-181,0
10.3,1,1,1,1,0.930572,1.84E-20,1.77E-173,0
10.4,1,1,1,1,0.94503,8.63E-18,1.49E-165,0
10.5,1,1,1,1,0.956772,1.96E-15,7.81E-158,0
10.6,1,1,1,1,0.966232,2.31E-13,2.53E-150,0
10.7,1,1,1,1,0.973794,1.51E-11,5.05E-143,0
10.8,1,1,1,1,0.979793,5.82E-10,6.19E-136,0
10.9,1,1,1,1,0.984519,1.40E-08,4.63E-129,0
11,1,1,1,1,0.988216,2.20E-07,2.12E-122,0
11.1,1,1,1,1,0.991088,2.38E-06,5.93E-116,0
11.2,1,1,1,1,0.993303,1.86E-05,1.01E-109,0
11.3,1,1,1,1,0.995,0.000108047,1.05E-103,0
11.4,1,1,1,1,0.996292,0.000487034,6.66E-98,0
11.5,1,1,1,1,0.997268,0.00175572,2.59E-92,0
11.6,1,1,1,1,0.998001,0.00521001,6.16E-87,0
11.7,1,1,1,1,0.998548,0.0130594,9.04E-82,0
11.8,1,1,1,1,0.998952,0.0282944,8.19E-77,0
11.9,1,1,1,1,0.999249,0.0540786,4.61E-72,0
12,1,1,1,1,0.999466,0.0928369,1.62E-67,0
12.1,1,1,1,1,0.999623,0.145431,3.58E-63,0
12.2,1,1,1,1,0.999736,0.210789,5.01E-59,0
12.3,1,1,1,1,0.999816,0.286106,4.47E-55,0
12.4,1,1,1,1,0.999873,0.367476,2.56E-51,0
12.5,1,1,1,1,0.999913,0.450672,9.54E-48,0
12.6,1,1,1,1,0.999941,0.531837,2.33E-44,0
12.7,1,1,1,1,0.99996,0.607917,3.75E-41,0
12.8,1,1,1,1,0.999974,0.676843,4.04E-38,0
12.9,1,1,1,1,0.999983,0.737501,2.94E-35,0
13,1,1,1,1,0.999989,0.789574,1.47E-32,0
13.1,1,1,1,1,0.999993,0.833334,5.05E-30,2.50E-303
13.2,1,1,1,1,0.999995,0.869437,1.22E-27,7.69E-283
13.3,1,1,1,1,0.999997,0.898748,2.08E-25,2.31E-263
13.4,1,1,1,1,0.999998,0.922214,2.56E-23,7.20E-245
13.5,1,1,1,1,0.999999,0.940766,2.28E-21,2.45E-227
13.6,1,1,1,1,0.999999,0.955269,1.50E-19,9.74E-211
13.7,1,1,1,1,1,0.966491,7.38E-18,4.78E-195
13.8,1,1,1,1,1,0.975092,2.74E-16,3.09E-180
13.9,1,1,1,1,1,0.981625,7.81E-15,2.79E-166
14,1,1,1,1,1,0.986546,1.73E-13,3.79E-153
14.1,1,1,1,1,1,0.990222,3.01E-12,8.19E-141
14.2,1,1,1,1,1,0.992946,4.17E-11,3.02E-129
14.3,1,1,1,1,1,0.994949,4.67E-10,2.03E-118
14.4,1,1,1,1,1,0.996411,4.27E-09,2.66E-108
14.5,1,1,1,1,1,0.997469,3.23E-08,7.25E-99
14.6,1,1,1,1,1,0.998229,2.05E-07,4.41E-90
14.7,1,1,1,1,1,0.99877,1.10E-06,6.40E-82
14.8,1,1,1,1,1,0.999153,5.06E-06,2.37E-74
14.9,1,1,1,1,1,0.999421,2.02E-05,2.38E-67
15,1,1,1,1,1,0.999608,7.03E-05,6.99E-61
15.1,1,1,1,1,1,0.999737,0.000216503,6.36E-55
15.2,1,1,1,1,1,0.999825,0.000595302,1.92E-49
15.3,1,1,1,1,1,0.999884,0.0014742,2.03E-44
15.4,1,1,1,1,1,0.999924,0.0033166,8.10E-40
15.5,1,1,1,1,1,0.999951,0.00683454,1.28E-35
15.6,1,1,1,1,1,0.999969,0.0130008,8.60E-32
15.7,1,1,1,1,1,0.99998,0.0229949,2.57E-28
15.8,1,1,1,1,1,0.999987,0.0380763,3.64E-25
15.9,1,1,1,1,1,0.999992,0.0594019,2.56E-22
16,1,1,1,1,1,0.999995,0.0878279,9.47E-20
16.1,1,1,1,1,1,0.999997,0.123745,1.93E-17
16.2,1,1,1,1,1,0.999998,0.166988,2.26E-15
16.3,1,1,1,1,1,0.999999,0.216828,1.60E-13
16.4,1,1,1,1,1,0.999999,0.272063,7.15E-12
16.5,1,1,1,1,1,1,0.331159,2.09E-10
16.6,1,1,1,1,1,1,0.392417,4.16E-09
16.7,1,1,1,1,1,1,0.454147,5.84E-08
16.8,1,1,1,1,1,1,0.514798,5.98E-07
16.9,1,1,1,1,1,1,0.573055,4.61E-06
17,1,1,1,1,1,1,0.627893,2.75E-05
17.1,1,1,1,1,1,1,0.678591,0.000130558
17.2,1,1,1,1,1,1,0.724709,0.000505048
17.3,1,1,1,1,1,1,0.766061,0.00162916
17.4,1,1,1,1,1,1,0.802661,0.00447408
17.5,1,1,1,1,1,1,0.834681,0.01066
17.6,1,1,1,1,1,1,0.862402,0.0224173
17.7,1,1,1,1,1,1,0.886174,0.0422585
17.8,1,1,1,1,1,1,0.906383,0.0724132
17.9,1,1,1,1,1,1,0.923429,0.114217
18,1,1,1,1,1,1,0.937702,0.167688
18.1,1,1,1,1,1,1,0.949572,0.231446
18.2,1,1,1,1,1,1,0.959383,0.302959
18.3,1,1,1,1,1,1,0.967442,0.379022
18.4,1,1,1,1,1,1,0.974026,0.456283
18.5,1,1,1,1,1,1,0.979376,0.531693
18.6,1,1,1,1,1,1,0.9837,0.6028
18.7,1,1,1,1,1,1,0.987177,0.667877
18.8,1,1,1,1,1,1,0.989959,0.725913
18.9,1,1,1,1,1,1,0.992174,0.776521
19,1,1,1,1,1,1,0.99393,0.819796
19.1,1,1,1,1,1,1,0.995314,0.856173
19.2,1,1,1,1,1,1,0.9964,0.886293
19.3,1,1,1,1,1,1,0.997248,0.910901
19.4,1,1,1,1,1,1,0.997907,0.930765
19.5,1,1,1,1,1,1,0.998416,0.946627
19.6,1,1,1,1,1,1,0.998808,0.959169
19.7,1,1,1,1,1,1,0.999107,0.968993
19.8,1,1,1,1,1,1,0.999335,0.976624
19.9,1,1,1,1,1,1,0.999508,0.982501
20,1,1,1,1,1,1,0.999638,0.986993
20.1,1,1,1,1,1,1,0.999735,0.990399
20.2,1,1,1,1,1,1,0.999807,0.992963
20.3,1,1,1,1,1,1,0.999861,0.994879
20.4,1,1,1,1,1,1,0.9999,0.9963
20.5,1,1,1,1,1,1,0.999929,0.997346
20.6,1,1,1,1,1,1,0.999949,0.99811
20.7,1,1,1,1,1,1,0.999964,0.998664
20.8,1,1,1,1,1,1,0.999975,0.999063
20.9,1,1,1,1,1,1,0.999983,0.999348
21,1,1,1,1,1,1,0.999988,0.99955
21.1,1,1,1,1,1,1,0.999992,0.999692
21.2,1,1,1,1,1,1,0.999995,0.99979
21.3,1,1,1,1,1,1,0.999996,0.999859
21.4,1,1,1,1,1,1,0.999998,0.999906
21.5,1,1,1,1,1,1,0.999998,0.999938
21.6,1,1,1,1,1,1,0.999999,0.999959
21.7,1,1,1,1,1,1,0.999999,0.999973
21.8,1,1,1,1,1,1,1,0.999983
21.9,1,1,1,1,1,1,1,0.999989
22,1,1,1,1,1,1,1,0.999993
22.1,1,1,1,1,1,1,1,0.999996
22.2,1,1,1,1,1,1,1,0.999997
22.3,1,1,1,1,1,1,1,0.999998
22.4,1,1,1,1,1,1,1,0.999999
22.5,1,1,1,1,1,1,1,0.999999
22.6,1,1,1,1,1,1,1,1
22.7,1,1,1,1,1,1,1,1
22.8,1,1,1,1,1,1,1,1
22.9,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1
23.1,1,1,1,1,1,1,1,1
23.2,1,1,1,1,1,1,1,1
23.3,1,1,1,1,1,1,1,1
23.4,1,1,1,1,1,1,1,1
23.5,1,1,1,1,1,1,1,1
23.6,1,1,1,1,1,1,1,1
23.7,1,1,1,1,1,1,1,1
23.8,1,1,1,1,1,1,1,1
23.9,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1
24.1,1,1,1,1,1,1,1,1
24.2,1,1,1,1,1,1,1,1
24.3,1,1,1,1,1,1,1,1
24.4,1,1,1,1,1,1,1,1
24.5,1,1,1,1,1,1,1,1
24.6,1,1,1,1,1,1,1,1
24.7,1,1,1,1,1,1,1,1
24.8,1,1,1,1,1,1,1,1
24.9,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1
25.1,1,1,1,1,1,1,1,1
25.2,1,1,1,1,1,1,1,1
25.3,1,1,1,1,1,1,1,1
25.4,1,1,1,1,1,1,1,1
25.5,1,1,1,1,1,1,1,1
25.6,1,1,1,1,1,1,1,1
25.7,1,1,1,1,1,1,1,1
25.8,1,1,1,1,1,1,1,1
25.9,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1
26.1,1,1,1,1,1,1,1,1
26.2,1,1,1,1,1,1,1,1
26.3,1,1,1,1,1,1,1,1
26.4,1,1,1,1,1,1,1,1
26.5,1,1,1,1,1,1,1,1
26.6,1,1,1,1,1,1,1,1
26.7,1,1,1,1,1,1,1,1
26.8,1,1,1,1,1,1,1,1
26.9,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1
27.1,1,1,1,1,1,1,1,1
27.2,1,1,1,1,1,1,1,1
27.3,1,1,1,1,1,1,1,1
27.4,1,1,1,1,1,1,1,1
27.5,1,1,1,1,1,1,1,1
27.6,1,1,1,1,1,1,1,1
27.7,1,1,1,1,1,1,1,1
27.8,1,1,1,1,1,1,1,1
27.9,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
28.1,1,1,1,1,1,1,1,1
28.2,1,1,1,1,1,1,1,1
28.3,1,1,1,1,1,1,1,1
28.4,1,1,1,1,1,1,1,1
28.5,1,1,1,1,1,1,1,1
28.6,1,1,1,1,1,1,1,1
28.7,1,1,1,1,1,1,1,1
28.8,1,1,1,1,1,1,1,1
28.9,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
29.1,1,1,1,1,1,1,1,1
29.2,1,1,1,1,1,1,1,1
29.3,1,1,1,1,1,1,1,1
29.4,1,1,1,1,1,1,1,1
29.5,1,1,1,1,1,1,1,1
29.6,1,1,1,1,1,1,1,1
29.7,1,1,1,1,1,1,1,1
29.8,1,1,1,1,1,1,1,1
29.9,1,1,1,1,1,1,1,1